material_code,material_name,initial_stock_quantity,unit_of_measurement,status,minimum_threshold
ALEX0310,ALUMINIUM PROFILE FH MOVING (P) LENGTH 1040+/-5 (B767) / 359959,100,Kgs,available,50
ALEX0300,ALUMINIUM EXTRUTION FIX FL (B765) 1015+/-5 / 341511,100,Kgs,available,50
ALEX0220,ALUMINIUM EXT FIX PROFILE (FF) B759 1015+/-5 / 361761,100,Kgs,available,50
ALEX0230,ALUMINIUM EXT(F) FG FIX PROFILE (B760) 1055+/-5 / 361600,100,Kgs,available,50
ALEX0305,ALUMINIUM EXT (PROFILE FIXED) F330 955+/-5(B764) / TC359957,100,Kgs,available,50
ALEX0340,ALLUMINIUM .EXT FL MOVING PROFILE (B766)L-1015+/-5 / 359960,100,Kgs,available,50
BECU0510,NI.BERILLIUM COPPER 1.2X10.5 / TCPE0090-01,100,Kgs,available,50
BRAS1081,"BRASS SHEET,1.6x31,CuZN 37,1/2 HARD,110-130 HV,TCPE0034-020",100,Kgs,available,50
BRAS1104,"BRASS SHEET,1.6x44.5,CuZN 37,1/2 HARD,110-130 HV,TCPE0034-021",100,Kgs,available,50
BRAS1105,"BRASS SHEET,1.2x31.5,CuZN 15,3/4 HARD,130-160 HV,TCPE0034-011",100,Kgs,available,50
BRAS9632,"BRASS SHEET,1.2x35.6,CuZn15,3/4 HARD,130-160 HV (TCPE0034-037)",100,Kgs,available,50
CRCA0055,C.R.C.A 1.2X54 / TCPE0036-005,100,Kgs,available,50
PHBR0020,Phosphorus Bronze PB-II ( 0.50 x 19.0mm) / TCPE0122,100,Kgs,available,50
BRAS1085,"BRASS SHEET,0.7x29,CuZN 15,3/4 HARD,130-160 HV,TCPE0034-0040.7X29 EXTRA HARD / TCPE0034-028",100,Kgs,available,50
BRAS1012,"BRASS SHEET,1.2x8.0,CuZn15,3/4 HARD,130-160 HV,TCPE0034-016",100,Kgs,available,50
BRAS1082,"BRASS SHEET,2x43,CuZN 15,1/4 HARD,110-130 HV,TCPE0034-027",100,Kgs,available,50
BRAS1015,"BRASS SHEET,2x37,CuZN 15,1/4 HARD,110-130 HV,TCPE0034-026",100,Kgs,available,50
BRAS1013,"BRASS SHEET,2.5x43,CuZN 15,1/4 HARD,110-130 HV,TCPE0034-024",100,Kgs,available,50
BRAS0009,COPPER STRIP 4X14.8 / TCPE0053-021,100,Kgs,available,50
BRAS1080,"BRASS SHEET,1.2x45,CuZn15,1/4 HARD,110-130 HV,TCPE0034-014",100,Kgs,available,50
CRCA0060,C.R.C.A 1.2X45 / TCPE0036-004,100,Kgs,available,50
CRCA0053,CRCA STRIP 1.2 MMX 28MM / TCPE0036-022 / TCPE0036-022,100,Kgs,available,50
CRCA0031,CRCA 1.5X46mm (ROLL FORM) GRADE(DD),100,Kgs,available,50
BRAS1090,"BRASS SHEET,1.2x8.4,CuZN 15,3/4 HARD,130-160 HV,TCPE0034-017",100,Kgs,available,50
BECU0515,NI.BERILLIUM COPPER 1.0X8.4 / TCPE0090-02,100,Kgs,available,50
BRAS1087,"BRASS SHEET,1.0x36,CuZN 15,3/4 HARD,130-160 HV,TCPE0034-007",100,Kgs,available,50
BRAS1086,"BRASS SHEET,1.0x27.5,CuZN 15,3/4 HARD,130-160 HV,TCPE0034-006",100,Kgs,available,50
BRAS1018,"BRASS SHEET,3X80,CuZN 15,1/4 HARD,110-130 HV,TCPE0034-027",100,Kgs,available,50
BRAS1088,"BRASS SHEET,0.7x29,CuZN 15,3/4 HARD,130-160 HV,TCPE0034-0040.7X29 EXTRA HARD / TCPE0034-028",100,Kgs,available,50
BRAS1089,"BRASS SHEET,0.5x24,CuZN 15,3/4 HARD,130-160 HV,TCPE0034-001",100,Kgs,available,50
CRCA0027,C.R.C.A 2X43 DD STRIP/ TCPE0036-20,100,Kgs,available,50
CRCA0100,C.R.C.A. (DD) 2X37 / TCPE0036-016,100,Kgs,available,50
STSL0001,SS 430/1 STRIP SIZE 0.8X27 MM  HARDNESS 195+ HV COIL (TCPE0519-001),100,Kgs,available,50
BRAS1266,BRASS COIL 2.0 x 51.0 MM CuZn15  3/4 Hard (117~142HV) / SAMPLE,100,Kgs,available,50
BRAS2165,BRASS COIL 2.5 x 52.0 MM CuZn15  3/4 Hard (117~142HV) / SAMPLE,100,Kgs,available,50
COPS0007,COPPER STRIP  1.6X50.0 mm ( COIL FORM)  ETP. 1/2HARD / TCPE0053-57,100,Kgs,available,50
BRAS0100,BRASS SHEET 1.6X33.1 CuZN 15 1/4 HARD 110-130 HV / TCPE0034-035,100,Kgs,available,50
BRAS1092,BRASS STRIP 0.8X32.1 COMP. 85:15 / SAMPLE,100,Kgs,available,50
BRAS1006,"BRASS SHEET,1.2x16,CuZn 15,3/4 HARD,130-160 HV,TCPE0034-008",100,Kgs,available,50
NUTS0160,EARTHING NUT F115-225 / 361596,100,Kgs,available,50
NUTS0170,EARTHING NUT FH / TC359571,100,Kgs,available,50
