fg_code,fg_item_description ,rm_code,rm_item_description, fg_gross_wt , fg_net_wt , scrap_net_wt
PRFL0006,PROFILE MOV. LC1F2654A (P)(4POLE) / TC/RE/F2/278,ALEX0310,ALUMINIUM PROFILE FH MOVING (P) LENGTH 1040+/-5 (B767) / 359959,343.20 ,343.20 ,0.00 
PRFL0010,PROFILE FIX LEFT(P)LC1F4004A(4POLE) / TC/RE/F2/298,ALEX0300,ALUMINIUM EXTRUTION FIX FL (B765) 1015+/-5 / 341511,594.75 ,594.75 ,0.00 
PRFL0012,PROFILE FIX RHT LC1F4004A(P)(4POLE) / TC/RE/F2/306,ALEX0300,ALUMINIUM EXTRUTION FIX FL (B765) 1015+/-5 / 341511,594.75 ,594.75 ,0.00 
PRFL0013,PROFILE (M) LC1F4004A(P) / TCREF2297,ALEX0310,ALUMINIUM PROFILE FH MOVING (P) LENGTH 1040+/-5 (B767) / 359959,343.20 ,343.20 ,0.00 
PRFL0015,PROFILE (F) FF/F115-150 / TC361793*,ALEX0220,ALUMINIUM EXT FIX PROFILE (FF) B759 1015+/-5 / 361761,430.00 ,430.00 ,0.00 
PRFL0016,PROFILE (F) LC1F1154/1504 (A),ALEX0220,ALUMINIUM EXT FIX PROFILE (FF) B759 1015+/-5 / 361761,570.00 ,570.00 ,0.00 
PRFL0017,PROFILE (F) FG/F185-225,ALEX0230,ALUMINIUM EXT(F) FG FIX PROFILE (B760) 1055+/-5 / 361600,470.00 ,470.00 ,0.00 
PRFL0018,PROFILE (F) LC1F1854/2254A (P) / STD,ALEX0230,ALUMINIUM EXT(F) FG FIX PROFILE (B760) 1055+/-5 / 361600,630.00 ,630.00 ,0.00 
PRFL0019,PROFILE (F) FH/F265,ALEX0305,ALUMINIUM EXT (PROFILE FIXED) F330 955+/-5(B764) / TC359957,858.00 ,858.00 ,0.00 
PRFL0020,PROFILE FIX LC1F2654A (P) (4POLE),ALEX0305,ALUMINIUM EXT (PROFILE FIXED) F330 955+/-5(B764) / TC359957,"1,168.70 ","1,168.70 ",0.00 
PRFL0021,PROFILE (FIX) LC1F330,ALEX0305,ALUMINIUM EXT (PROFILE FIXED) F330 955+/-5(B764) / TC359957,858.00 ,858.00 ,0.00 
PRFL0022,"PROFILE(F)PUNCHED LC1F330A,4P,(P)",ALEX0305,ALUMINIUM EXT (PROFILE FIXED) F330 955+/-5(B764) / TC359957,"1,333.00 ","1,333.00 ",0.00 
PRFL0024,FIX PROFILE RIGHT LC1FDP5004A/TCPD6003,ALEX0300,ALUMINIUM EXTRUTION FIX FL (B765) 1015+/-5 / 341511,560.00 ,560.00 ,0.00 
PRFL0025,FIX PROFILE LEFT LC1FDP5004A/TCPD6002,ALEX0300,ALUMINIUM EXTRUTION FIX FL (B765) 1015+/-5 / 341511,560.00 ,560.00 ,0.00 
PRFL0026,MOVING PROFILE LC1FDP5004A/TCPD6007,ALEX0310,ALUMINIUM PROFILE FH MOVING (P) LENGTH 1040+/-5 (B767) / 359959,390.00 ,390.00 ,0.00 
PRFL0027,Fixed Profile Left  LC1FDP2600A/TCPD6719,ALEX0300,ALUMINIUM EXTRUTION FIX FL (B765) 1015+/-5 / 341511,"1,189.50 ","1,189.50 ",0.00 
PRFL0028,Fixed Profile Right  LC1FDP2600A/TCPD6720,ALEX0300,ALUMINIUM EXTRUTION FIX FL (B765) 1015+/-5 / 341511,"1,189.50 ","1,189.50 ",0.00 
PRFL0029,Moving Profile  LC1FDP2600A/TCPD6721,ALEX0340,ALLUMINIUM .EXT FL MOVING PROFILE (B766)L-1015+/-5 / 359960,900.00 ,900.00 ,0.00 
PRFL2165,PROFILE (F) (P) FJ/F400 / 341552-402,ALEX0300,ALUMINIUM EXTRUTION FIX FL (B765) 1015+/-5 / 341511,390.00 ,390.00 ,0.00 
PRFL2170,PROFILE (F) (S) FJ/F400 / 355029-402,ALEX0300,ALUMINIUM EXTRUTION FIX FL (B765) 1015+/-5 / 341511,383.40 ,383.40 ,0.00 
PRFL2175,PROFILE (F) (P) FL/F630 / 341552-602,ALEX0300,ALUMINIUM EXTRUTION FIX FL (B765) 1015+/-5 / 341511,594.75 ,594.75 ,0.00 
PRFL2180,PROFILE (F) (S) FK/F500 / 341551-502,ALEX0300,ALUMINIUM EXTRUTION FIX FL (B765) 1015+/-5 / 341511,468.00 ,468.00 ,0.00 
PRFL2185,PROFILE (F) (P) FK/F500 / 341552-502,ALEX0300,ALUMINIUM EXTRUTION FIX FL (B765) 1015+/-5 / 341511,468.00 ,468.00 ,0.00 
PRFL2190,PROFILE (F) (S) FL-630 / 355518-602,ALEX0300,ALUMINIUM EXTRUTION FIX FL (B765) 1015+/-5 / 341511,594.75 ,594.75 ,0.00 
PRFL2195,PROFILE (F) LC1FX/F780 / TCPD0475,ALEX0300,ALUMINIUM EXTRUTION FIX FL (B765) 1015+/-5 / 341511,"1,375.00 ","1,375.00 ",0.00 
PRFL2210,PROFILE (M) FH/F265 / 350901-302,ALEX0310,ALUMINIUM PROFILE FH MOVING (P) LENGTH 1040+/-5 (B767) / 359959,245.14 ,245.14 ,0.00 
PRFL2215,PROFILE (M) FJ/F400 / 341951-402,ALEX0310,ALUMINIUM PROFILE FH MOVING (P) LENGTH 1040+/-5 (B767) / 359959,286.00 ,286.00 ,0.00 
PRFL2220,PROFILE (M) FK/F500 / 341951-502,ALEX0310,ALUMINIUM PROFILE FH MOVING (P) LENGTH 1040+/-5 (B767) / 359959,294.20 ,294.20 ,0.00 
PRFL2225,PROFILE (M) FL/F630 / 341954-602,ALEX0340,ALLUMINIUM .EXT FL MOVING PROFILE (B766)L-1015+/-5 / 359960,450.00 ,450.00 ,0.00 
PRFL2230,PROFILE (M) LC1FX/F780 / TCPD0484,ALEX0340,ALLUMINIUM .EXT FL MOVING PROFILE (B766)L-1015+/-5 / 359960,"1,068.00 ","1,068.00 ",0.00 
PRFL2240,PROFILE (M) LC1F330A / TC/RE/F2/085,ALEX0310,ALUMINIUM PROFILE FH MOVING (P) LENGTH 1040+/-5 (B767) / 359959,286.00 ,286.00 ,0.00 
PRFL2250,PROFILE (F) F7804 / TCPD0865,ALEX0300,ALUMINIUM EXTRUTION FIX FL (B765) 1015+/-5 / 341511,"2,379.00 ","2,379.00 ",0.00 
PRFL2260,PROFILE (M) F7804 / TCPD0864,ALEX0340,ALLUMINIUM .EXT FL MOVING PROFILE (B766)L-1015+/-5 / 359960,"1,800.00 ","1,800.00 ",0.00 
PRFL2270,PROFILE (F) (P) LC1F630 4A / TC/RE/F2/131,ALEX0300,ALUMINIUM EXTRUTION FIX FL (B765) 1015+/-5 / 341511,793.00 ,793.00 ,0.00 
PRFL2280,PROFILE (F) (S) LC1F630 4A / 341552-603,ALEX0300,ALUMINIUM EXTRUTION FIX FL (B765) 1015+/-5 / 341511,793.00 ,793.00 ,0.00 
PRFL2290,PROFILE (M) LC1F6304A / 341957-603,ALEX0340,ALLUMINIUM .EXT FL MOVING PROFILE (B766)L-1015+/-5 / 359960,600.00 ,600.00 ,0.00 
PRFL2854,"PROFILE(M) PUNCHED LC1F330A-4P,(P) / TC/RE/F2/502",ALEX0310,ALUMINIUM PROFILE FH MOVING (P) LENGTH 1040+/-5 (B767) / 359959,343.20 ,343.20 ,0.00 
SHMT1062,OUTLET COIL (PLATED) LX1D09-32 / 332191,CRCA0055,C.R.C.A 1.2X54 / TCPE0036-005,3.58 ,1.40 ,2.18 
SHMT1063,OUTLET COIL TX1D2-TX1D4 / TC/RE/D2/006,CRCA0055,C.R.C.A 1.2X54 / TCPE0036-005,3.28 ,1.00 ,2.28 
SHMT3599,OUTLET COIL TC1D25/32/3811 / TCPD3811,PHBR0020,Phosphorus Bronze PB-II ( 0.50 x 19.0mm) / TCPE0122,1.40 ,0.40 ,1.00 
SHMT9637,CONNECTOR STRIP TA7D40 / TC/RE/D2/1318,BRAS1081,"BRASS SHEET,1.6x31,CuZN 37,1/2 HARD,110-130 HV,TCPE0034-020",8.38 ,3.40 ,4.98 
SHMT9638,BRASS STRIP TA7D40 / TC/RE/D2/1319,BRAS1006,"BRASS SHEET,1.2x16,CuZn 15,3/4 HARD,130-160 HV,TCPE0034-008",6.25 ,2.40 ,3.85 
SHMT0129,SUPPORT MOVING TC1DT404Ne / TCPD2825,BRAS1085,"BRASS SHEET,0.7x29,CuZN 15,3/4 HARD,130-160 HV,TCPE0034-0040.7X29 EXTRA HARD / TCPE0034-028",1.12 ,0.70 ,0.42 
SHMT0164,SUPPORT (M) 4 POLE AGRO CONTACTOR / TCPD2909,BRAS1012,"BRASS SHEET,1.2x8.0,CuZn15,3/4 HARD,130-160 HV,TCPE0034-016",3.13 ,2.60 ,0.53 
SHMT0166,SUPPORT (F) 4 POLE AGRO CONTACTOR / TCPD2916,BRAS1081,"BRASS SHEET,1.6x31,CuZN 37,1/2 HARD,110-130 HV,TCPE0034-020",6.10 ,4.15 ,1.95 
SHMT0246,SUPPORT (F) NO D25 / TC374252,BRAS1082,"BRASS SHEET,2x43,CuZN 15,1/4 HARD,110-130 HV,TCPE0034-027",6.55 ,3.55 ,3.00 
SHMT0247,SUPPORT (F) NC D25 / 364613,BRAS1015,"BRASS SHEET,2x37,CuZN 15,1/4 HARD,110-130 HV,TCPE0034-026",9.63 ,3.40 ,6.23 
SHMT0252,SUPPORT MOVING LC1D/TC1D/TP1D80 / TC444595,BECU0510,NI.BERILLIUM COPPER 1.2X10.5 / TCPE0090-01,6.83 ,6.15 ,0.68 
SHMT0325,SUPPORT FIXED TC1/TP1D32 (U/P-MEM) / TC374101*,BRAS1013,"BRASS SHEET,2.5x43,CuZN 15,1/4 HARD,110-130 HV,TCPE0034-024",9.15 ,4.90 ,4.25 
SHMT0335,SUPPORT (F) D25 / TC370913,BRAS1082,"BRASS SHEET,2x43,CuZN 15,1/4 HARD,110-130 HV,TCPE0034-027",6.55 ,3.60 ,2.95 
SHMT0355,SUPPORT (F) NC POWER LC1D258 / TCPD1037,BRAS1015,"BRASS SHEET,2x37,CuZN 15,1/4 HARD,110-130 HV,TCPE0034-026",9.63 ,3.40 ,6.23 
SHMT0440,SUPPORT (F) (R) (INNER) / TC/RE/D2/242,BRAS0009,"BRASS SHEET,1.2x63,CuZn 37,1/2 HARD,110-130 HV,TCPE0034-0",4.45 ,1.50 ,2.95 
